x,y,z
-11.0, -14.0, -14.0
-11.0, -14.0, -14.0
-13.0, -12.0, -12.0
-15.0, -12.0, -12.0
-15.0, -12.0, -12.0
-16.0, -12.0, -12.0
-16.0, -12.0, -12.0
-15.0, -13.0, -13.0
-15.0, -13.0, -13.0
-17.0, -13.0, -13.0
-19.0, -14.0, -14.0
-19.0, -14.0, -14.0
-18.0, -14.0, -14.0
-18.0, -14.0, -14.0
-20.0, -14.0, -14.0
-20.0, -14.0, -14.0
-20.0, -17.0, -17.0
-20.0, -17.0, -17.0
-22.0, -18.0, -18.0
-23.0, -17.0, -17.0
-23.0, -17.0, -17.0
-22.0, -19.0, -19.0
-22.0, -19.0, -19.0
-24.0, -19.0, -19.0
-24.0, -19.0, -19.0
-24.0, -19.0, -19.0
-25.0, -21.0, -21.0
-25.0, -21.0, -21.0
-24.0, -22.0, -22.0
-24.0, -22.0, -22.0
-26.0, -23.0, -23.0
-26.0, -23.0, -23.0
-25.0, -24.0, -24.0
-27.0, -25.0, -25.0
-27.0, -25.0, -25.0
-27.0, -26.0, -26.0
-27.0, -26.0, -26.0
-28.0, -27.0, -27.0
-28.0, -27.0, -27.0
-27.0, -27.0, -27.0
-27.0, -27.0, -27.0
-28.0, -30.0, -30.0
-28.0, -30.0, -30.0
-28.0, -30.0, -30.0
-27.0, -32.0, -32.0
-27.0, -32.0, -32.0
-28.0, -33.0, -33.0
-28.0, -34.0, -34.0
-28.0, -34.0, -34.0
-28.0, -34.0, -34.0
-28.0, -34.0, -34.0
-28.0, -34.0, -34.0
-28.0, -34.0, -34.0
-28.0, -36.0, -36.0
-28.0, -36.0, -36.0
-26.0, -38.0, -38.0
-28.0, -39.0, -39.0
-28.0, -39.0, -39.0
-27.0, -41.0, -41.0
-27.0, -41.0, -41.0
-25.0, -41.0, -41.0
-25.0, -41.0, -41.0
-25.0, -43.0, -43.0
-24.0, -44.0, -44.0
-24.0, -44.0, -44.0
-25.0, -44.0, -44.0
-25.0, -44.0, -44.0
-24.0, -45.0, -45.0
-24.0, -45.0, -45.0
-21.0, -46.0, -46.0
-23.0, -45.0, -45.0
-23.0, -45.0, -45.0
-22.0, -48.0, -48.0
-22.0, -48.0, -48.0
-19.0, -48.0, -48.0
-19.0, -48.0, -48.0
-18.0, -49.0, -49.0
-18.0, -49.0, -49.0
-19.0, -48.0, -48.0
-18.0, -48.0, -48.0
-18.0, -48.0, -48.0
-16.0, -51.0, -51.0
-16.0, -51.0, -51.0
-15.0, -50.0, -50.0
-15.0, -50.0, -50.0
-15.0, -50.0, -50.0
-13.0, -50.0, -50.0
-13.0, -50.0, -50.0
-12.0, -50.0, -50.0
-12.0, -50.0, -50.0
-12.0, -51.0, -51.0
-12.0, -51.0, -51.0
-10.0, -50.0, -50.0
-10.0, -51.0, -51.0
-10.0, -51.0, -51.0
-9.0, -50.0, -50.0
-9.0, -50.0, -50.0
-8.0, -49.0, -49.0
-8.0, -49.0, -49.0
-6.0, -52.0, -52.0
-4.0, -50.0, -50.0
-4.0, -50.0, -50.0
-4.0, -50.0, -50.0
